panel	line	entry	canonical_attempt	note
retina_disease.txt	248	CPHD6	CPHD6	not_current_hgnc_after_official_aliases
retina_disease.txt	252	CRDHL	CRDHL	not_current_hgnc_after_official_aliases
retina_disease.txt	253	CRSDS	CRSDS	not_current_hgnc_after_official_aliases
retina_disease.txt	254	CRV	CRV	not_current_hgnc_after_official_aliases
retina_disease.txt	262	CSNB1H	CSNB1H	not_current_hgnc_after_official_aliases
retina_disease.txt	278	CYMD	CYMD	not_current_hgnc_after_official_aliases
retina_disease.txt	280	DCB	DCB	not_current_hgnc_after_official_aliases
retina_disease.txt	296	DIAR12	DIAR12	not_current_hgnc_after_official_aliases
retina_disease.txt	297	DLP1	DLP1	not_current_hgnc_after_official_aliases
retina_disease.txt	299	DMDF	DMDF	not_current_hgnc_after_official_aliases
retina_disease.txt	301	DND	DND	not_current_hgnc_after_official_aliases
retina_disease.txt	307	EAR3	EAR3	not_current_hgnc_after_official_aliases
retina_disease.txt	313	EMPF	EMPF	not_current_hgnc_after_official_aliases
retina_disease.txt	316	ERVR	ERVR	not_current_hgnc_after_official_aliases
retina_disease.txt	317	ESCS	ESCS	not_current_hgnc_after_official_aliases
retina_disease.txt	321	EVR3	EVR3	not_current_hgnc_after_official_aliases
retina_disease.txt	323	EVR5	EVR5	not_current_hgnc_after_official_aliases
retina_disease.txt	324	EVR6	EVR6	not_current_hgnc_after_official_aliases
retina_disease.txt	325	EVR7	EVR7	not_current_hgnc_after_official_aliases
retina_disease.txt	334	FEVR	FEVR	not_current_hgnc_after_official_aliases
retina_disease.txt	336	FHASD	FHASD	not_current_hgnc_after_official_aliases
retina_disease.txt	344	FVH2	FVH2	not_current_hgnc_after_official_aliases
retina_disease.txt	357	GOP	GOP	not_current_hgnc_after_official_aliases
retina_disease.txt	367	HARP	HARP	not_current_hgnc_after_official_aliases
retina_disease.txt	370	HECIC2	HECIC2	not_current_hgnc_after_official_aliases
retina_disease.txt	374	HK5P	HK5P	not_current_hgnc_after_official_aliases
retina_disease.txt	377	HMSN6B	HMSN6B	not_current_hgnc_after_official_aliases
retina_disease.txt	380	HRG4	HRG4	not_current_hgnc_after_official_aliases
retina_disease.txt	386	HYC2	HYC2	not_current_hgnc_after_official_aliases
retina_disease.txt	387	ICRD	ICRD	not_current_hgnc_after_official_aliases
retina_disease.txt	388	IDDRP	IDDRP	not_current_hgnc_after_official_aliases
retina_disease.txt	400	ILFS2	ILFS2	not_current_hgnc_after_official_aliases
retina_disease.txt	410	IRD	IRD	not_current_hgnc_after_official_aliases
retina_disease.txt	411	ISQMR	ISQMR	not_current_hgnc_after_official_aliases
retina_disease.txt	419	JBTS30	JBTS30	not_current_hgnc_after_official_aliases
retina_disease.txt	434	KIAA1454	KIAA1454	not_current_hgnc_after_official_aliases
retina_disease.txt	439	KIP2	KIP2	not_current_hgnc_after_official_aliases
retina_disease.txt	442	KNO2	KNO2	not_current_hgnc_after_official_aliases
retina_disease.txt	444	KSS	KSS	not_current_hgnc_after_official_aliases
retina_disease.txt	448	LAMPB	LAMPB	not_current_hgnc_after_official_aliases
retina_disease.txt	450	LCA10	LCA10	not_current_hgnc_after_official_aliases
retina_disease.txt	457	LCA17	LCA17	not_current_hgnc_after_official_aliases
retina_disease.txt	458	LCA18	LCA18	not_current_hgnc_after_official_aliases
retina_disease.txt	459	LCA19	LCA19	not_current_hgnc_after_official_aliases
retina_disease.txt	468	LCAEOD	LCAEOD	not_current_hgnc_after_official_aliases
retina_disease.txt	470	LHONAR	LHONAR	not_current_hgnc_after_official_aliases
retina_disease.txt	471	LHONAR1	LHONAR1	not_current_hgnc_after_official_aliases
retina_disease.txt	473	LOC619531	LOC619531	not_current_hgnc_after_official_aliases
retina_disease.txt	486	MC1DN16	MC1DN16	not_current_hgnc_after_official_aliases
retina_disease.txt	487	MC1DN38	MC1DN38	not_current_hgnc_after_official_aliases
retina_disease.txt	488	MCCRP1	MCCRP1	not_current_hgnc_after_official_aliases
retina_disease.txt	489	MCCRP2	MCCRP2	not_current_hgnc_after_official_aliases
retina_disease.txt	490	MCCRP3	MCCRP3	not_current_hgnc_after_official_aliases
retina_disease.txt	491	MCDR	MCDR	not_current_hgnc_after_official_aliases
retina_disease.txt	492	MCDR1	MCDR1	not_current_hgnc_after_official_aliases
retina_disease.txt	494	MCDR3	MCDR3	not_current_hgnc_after_official_aliases
retina_disease.txt	495	MCDR4	MCDR4	not_current_hgnc_after_official_aliases
retina_disease.txt	496	MCDR5	MCDR5	not_current_hgnc_after_official_aliases
retina_disease.txt	497	MCLMR	MCLMR	not_current_hgnc_after_official_aliases
retina_disease.txt	499	MCOP2	MCOP2	not_current_hgnc_after_official_aliases
retina_disease.txt	500	MCOPS5	MCOPS5	not_current_hgnc_after_official_aliases
retina_disease.txt	502	MDCD	MDCD	not_current_hgnc_after_official_aliases
retina_disease.txt	503	MDDC	MDDC	not_current_hgnc_after_official_aliases
retina_disease.txt	504	MDDGA3	MDDGA3	not_current_hgnc_after_official_aliases
retina_disease.txt	505	MDDGB3	MDDGB3	not_current_hgnc_after_official_aliases
retina_disease.txt	506	MDDGC3	MDDGC3	not_current_hgnc_after_official_aliases
retina_disease.txt	507	MDPT1	MDPT1	not_current_hgnc_after_official_aliases
retina_disease.txt	508	MDPT2	MDPT2	not_current_hgnc_after_official_aliases
retina_disease.txt	526	MOSPGF	MOSPGF	not_current_hgnc_after_official_aliases
retina_disease.txt	528	MPS3C	MPS3C	not_current_hgnc_after_official_aliases
