alias	existing_or_reason	candidate_target	source
APC2	current_symbol	ANAPC2|SLC25A23	hgnc_alias_symbol
APC4	multiple_targets	ANAPC4|SLC25A41	hgnc_alias_symbol
APC7	multiple_targets	ANAPC7|SCARA3	hgnc_alias_symbol
APE	multiple_targets	APEX1|CCDC88A	hgnc_alias_symbol
APH2	multiple_targets	NCSTN|ZDHHC16	hgnc_alias_symbol
API5L1	API5P1	API5	hgnc_alias_symbol
APPL2	current_symbol	APLP2	hgnc_prev_symbol
APPL2	current_symbol	APLP2	hgnc_withdrawn
APR	LRP1	PMAIP1	hgnc_alias_symbol
APRIL	multiple_targets	ANP32B|TNFSF13	hgnc_alias_symbol
APRO5	multiple_targets	TOB1|TOB2	hgnc_alias_symbol
APS	KLK3	SH2B2	hgnc_alias_symbol
APT1	FAS	LYPLA1	hgnc_alias_symbol
AQP9	current_symbol	AQP7	hgnc_alias_symbol
AR	current_symbol	AKR1B1|AREG|FDXR	hgnc_alias_symbol
ARA	ABCC6	FOXC1	hgnc_alias_symbol
ARC	current_symbol	NOL3	hgnc_alias_symbol
ARD1	multiple_targets	PPP1R8|TRIM23	hgnc_alias_symbol
ARF1P2	current_symbol	ARL17A	hgnc_prev_symbol
ARFGAP1	current_symbol	ARFGAP3	hgnc_prev_symbol
ARG	multiple_targets	ABL2|RERE	hgnc_alias_symbol
ARG1	current_symbol	TINAGL1	hgnc_alias_symbol
ARH2	multiple_targets	ADPRHL1|LDLRAP1	hgnc_alias_symbol
ARHGAP10	current_symbol	ARHGAP21	hgnc_alias_symbol
ARIP1	multiple_targets	ACTRT1|MAGI2	hgnc_alias_symbol
ARK	multiple_targets	AXL|RNF111	hgnc_alias_symbol
ARL1	current_symbol	AKR1B10	hgnc_alias_symbol
ARP	multiple_targets	ARFRP1|CRISP1|MANF|RERE	hgnc_alias_symbol
ARP1	multiple_targets	ACTR1A|ANGPTL1|APOBEC2|PITX2	hgnc_alias_symbol
ARP11	multiple_targets	ACTR3B|ACTR3C	hgnc_alias_symbol
ARP2	multiple_targets	ACTR2|AICDA|ANGPTL2	hgnc_alias_symbol
ARP3	multiple_targets	ACTR3|APOBEC3A	hgnc_alias_symbol
ARP5	multiple_targets	ANGPTL6|APOBEC3C	hgnc_alias_symbol
ARP6	multiple_targets	ACTR6|APOBEC3D	hgnc_alias_symbol
ARP8	multiple_targets	ACTR8|APOBEC3F	hgnc_alias_symbol
ARSC	ARSC2	STS	hgnc_alias_symbol
AS	HLA-B	UBE3A	hgnc_alias_symbol
ASAP	multiple_targets	LINC00467|MAP9	hgnc_alias_symbol
ASB	ALAS2	ARSB	hgnc_alias_symbol
ASC2	multiple_targets	NCOA6|PYDC1	hgnc_alias_symbol
ASF	multiple_targets	ARSF|SRSF1	hgnc_alias_symbol
ASH1	multiple_targets	ASCL1|ASH1L	hgnc_alias_symbol
ASH2	multiple_targets	ASCL2|ASH2L	hgnc_alias_symbol
ASIP	current_symbol	PARD3	hgnc_alias_symbol
ASM	multiple_targets	H19|SMPD1	hgnc_alias_symbol
ASP	multiple_targets	A1CF|ASIP|ASPA|ASPM|ATG5|ROPN1L|TMPRSS11D	hgnc_alias_symbol
AST	multiple_targets	GOT1|SLC17A5	hgnc_alias_symbol
AT1	multiple_targets	AGTR1|PGR-AS1|SLC33A1	hgnc_alias_symbol
AT2	multiple_targets	AGTR2|PGR-AS1	hgnc_alias_symbol
AT3	SERPINC1	PGR-AS1	hgnc_alias_symbol
ATDC	ATM	TRIM29	hgnc_alias_symbol
ATF1	current_symbol	GDNF	hgnc_alias_symbol
ATF2	current_symbol	GDNF	hgnc_alias_symbol
ATP2B2	current_symbol	ATP2B4	hgnc_prev_symbol
ATP5A	ATP5PF	ATP5F1A	hgnc_alias_symbol
ATP6C	multiple_targets	ATP6V0C|ATP6V1C1	hgnc_prev_symbol
ATP6D	multiple_targets	ATP6V0D1|ATP6V1C1	hgnc_prev_symbol
ATP6G	ATP6V1G2	ATP6V1G1	hgnc_alias_symbol
ATPM	multiple_targets	ATP5F1A|ATP5PF	hgnc_prev_symbol
ATR	current_symbol	ANTXR1|SERPINA2	hgnc_alias_symbol
ATR1	multiple_targets	AGTR1|SLC3A1	hgnc_alias_symbol
ATX	multiple_targets	ENPP2|SMG1	hgnc_alias_symbol
