alias	existing_or_reason	candidate_target	source
CSTP1	current_symbol	CPPED1	hgnc_alias_symbol
CT1	multiple_targets	CTF1|SLC6A8	hgnc_alias_symbol
CT58	multiple_targets	CCN5|NLRP4	hgnc_alias_symbol
CT78	multiple_targets	TSPY1|TSPY3	hgnc_alias_symbol
CT90	multiple_targets	KIF20B|MPHOSPH10	hgnc_alias_symbol
CTAGE4	current_symbol	ARHGEF35	hgnc_alias_symbol
CTB	CTBS	PCYT1B	hgnc_alias_symbol
CTH	current_symbol	VSIG2	hgnc_alias_symbol
CTLA1	GZMB	GZMH	hgnc_alias_symbol
CTSO	current_symbol	CTSK	hgnc_prev_symbol
CXorf2	TEX28	SLITRK2	hgnc_alias_symbol
CXXC11	RTP5	FBXL19	hgnc_alias_symbol
CYK4	KRT4	RACGAP1	hgnc_alias_symbol
CYP1	CYP1A1	CYP27B1	hgnc_alias_symbol
CYP11B	multiple_targets	CYP11B1|CYP11B2	hgnc_prev_symbol
CYP2A	multiple_targets	CYP2A13|CYP2A6|CYP2A7	hgnc_alias_symbol
CYP2B	CYP2B6	CYP2B7P	hgnc_alias_symbol
CYP2C	CYP2C19	CYP2C18	hgnc_alias_symbol
CYP2D	CYP2D7	CYP2D6	hgnc_alias_symbol
CypD	multiple_targets	PPID|PPIF	hgnc_alias_symbol
CYPL1	multiple_targets	CYP51A1|PPIL1	hgnc_alias_symbol
D-X	multiple_targets	ULK4P1|ULK4P2|ULK4P3	hgnc_alias_symbol
D3F15S2	multiple_targets	APEH|MST1	hgnc_prev_symbol
D6S230E	TCP11	TCP1	hgnc_alias_symbol
DA1	multiple_targets	IGHD4-11|TPM2	hgnc_alias_symbol
DA2B	multiple_targets	TNNI2|TNNT3	hgnc_alias_symbol
DAGK	DGKA	DGKQ	hgnc_alias_symbol
DAGK6	multiple_targets	DGKE|DGKZ	hgnc_alias_symbol
DAN	multiple_targets	NBL1|PARN	hgnc_alias_symbol
DAO	current_symbol	AOC1	hgnc_alias_symbol
DAP	current_symbol	DNPEP|IAPP	hgnc_alias_symbol
DAP3	current_symbol	DLGAP3	hgnc_alias_symbol
DAP4	multiple_targets	DLGAP4|THAP12	hgnc_alias_symbol
DAT1	SLC6A3	LMO3	hgnc_alias_symbol
DBC1	BRINP1	CCAR2	hgnc_alias_symbol
DBI	current_symbol	TSPO	hgnc_alias_symbol
DBP	current_symbol	GC|HSD17B4	hgnc_alias_symbol
DBS	multiple_targets	LRP2|MCF2L	hgnc_alias_symbol
DC7	multiple_targets	MOGAT3|VPS29	hgnc_alias_symbol
DCR	current_symbol	DCXR	hgnc_alias_symbol
DD3	multiple_targets	AKR1A1|PCA3	hgnc_alias_symbol
DDX11L1	current_symbol	DDX11L10	hgnc_prev_symbol
DEC1	DELEC1	BHLHE40	hgnc_alias_symbol
DEF3	DEFA3	RBM6	hgnc_alias_symbol
DEF6	current_symbol	DEFA6	hgnc_alias_symbol
DEFA1	current_symbol	DEFA1A3	hgnc_alias_symbol
DEFA3	current_symbol	DEFA1A3	hgnc_alias_symbol
DEFB4	DEFB4A	DEFB104A	hgnc_alias_symbol
DEFT1P	current_symbol	DEFA1A3	hgnc_alias_symbol
DELTA	multiple_targets	PSMB6|YY1	hgnc_alias_symbol
DFNA2	multiple_targets	GJB3|KCNQ4	hgnc_prev_symbol
DFNA3	multiple_targets	GJB2|GJB6	hgnc_prev_symbol
DFNB6	TMIE	OTOF	hgnc_alias_symbol
DGK	multiple_targets	DGKB|DGKE	hgnc_alias_symbol
DIA	multiple_targets	DIAPH2|LIF	hgnc_alias_symbol
DIA1	CYB5R3	DIPK2A	hgnc_alias_symbol
DIFF6	multiple_targets	SEPTIN1|SEPTIN2	hgnc_prev_symbol
DIO1	current_symbol	DIDO1	hgnc_alias_symbol
DIP	multiple_targets	GRAMD4|TSC22D3	hgnc_alias_symbol
DIP1	multiple_targets	CCNDBP1|NCKIPSD	hgnc_alias_symbol
dJ760C5.1	multiple_targets	CFTR|CFTRP1	hgnc_alias_symbol
DK1	multiple_targets	DOLK|IGHD5-12	hgnc_alias_symbol
DKFZp547P234	multiple_targets	ATP6V1G1|TMEM268	hgnc_alias_symbol
DLC1	current_symbol	DLEC1|DYNLL1	hgnc_alias_symbol
DLG1	current_symbol	DLGAP5	hgnc_alias_symbol
DLG2	current_symbol	MPP2	hgnc_prev_symbol
DLG3	current_symbol	MPP3	hgnc_prev_symbol
DLG4	current_symbol	LLGL1	hgnc_prev_symbol
DM1	DMPK	IGHD1-7	hgnc_alias_symbol
DM2	CNBP	IGHD1-14	hgnc_alias_symbol
DMC	multiple_targets	CXCL17|DYM	hgnc_alias_symbol
DMC1	current_symbol	HID1	hgnc_alias_symbol
DMP1	current_symbol	DMTF1	hgnc_alias_symbol
DMT1	multiple_targets	DMRT1|SLC11A2	hgnc_alias_symbol
DNAJ	multiple_targets	DNAJA2|DNAJC14	hgnc_alias_symbol
DNAL1	current_symbol	DNAH9	hgnc_alias_symbol
DNF15S2	multiple_targets	APEH|MST1	hgnc_prev_symbol
DNM1DN10@	multiple_targets	DNM1P37|DNM1P38	hgnc_prev_symbol
DNM1DN11@	multiple_targets	DNM1P38|DNM1P39|DNM1P40|DNM1P41|DNM1P43|DNM1P44	hgnc_prev_symbol
DNM1DN14@	multiple_targets	DNM1P46|DNM1P47	hgnc_prev_symbol
DNM1DN15@	multiple_targets	DNM1P24|DNM1P25	hgnc_prev_symbol
DNM1DN16@	multiple_targets	DNM1P26|DNM1P27	hgnc_prev_symbol
DNM1DN3@	multiple_targets	DNM1P28|DNM1P29|DNM1P30	hgnc_prev_symbol
DNM1DN4@	multiple_targets	DNM1P30|DNM1P31|DNM1P32	hgnc_prev_symbol
DNM1DN8@	multiple_targets	DNM1P34|DNM1P35|DNM1P36	hgnc_prev_symbol
DOC1	multiple_targets	ANAPC10|CDK2AP1	hgnc_alias_symbol
DOK1	current_symbol	ART4	hgnc_alias_symbol
DP	multiple_targets	DSP|PTGDR	hgnc_alias_symbol
DP1	multiple_targets	PTGDR|REEP5|TFDP1	hgnc_alias_symbol
DP2	multiple_targets	APC|PTGDR2	hgnc_alias_symbol
DP3	multiple_targets	APC|JUP	hgnc_alias_symbol
DPK	multiple_targets	KCNK1|TAOK3	hgnc_alias_symbol
DPPIV	multiple_targets	DPP4|FAP	hgnc_alias_symbol
DRC3	current_symbol	EPS8L1	hgnc_alias_symbol
DRG1	current_symbol	NDRG1	hgnc_alias_symbol
DRP	multiple_targets	DENR|UTRN	hgnc_alias_symbol
DRP-1	multiple_targets	CRMP1|DAPK2	hgnc_alias_symbol
DRP1	multiple_targets	DENR|DNM1L|UTRN	hgnc_alias_symbol
DRP2	current_symbol	DPYSL2	hgnc_alias_symbol
DRS1	multiple_targets	DDX27|ECI2	hgnc_alias_symbol
DSC1	current_symbol	DSC3	hgnc_alias_symbol
DSC2	current_symbol	DSC3	hgnc_alias_symbol
DSC3	current_symbol	DSC2	hgnc_prev_symbol
DTD	SLC26A2	NQO1	hgnc_alias_symbol
DUP	multiple_targets	CDT1|MSH3	hgnc_alias_symbol
DUSP1	current_symbol	DUSP12	hgnc_alias_symbol
DUSP23	current_symbol	PTPMT1	hgnc_alias_symbol
DUSP24	STYXL1	DUSP26	hgnc_alias_symbol
DUSP26	current_symbol	DUSP28	hgnc_alias_symbol
DUSP27	STYXL2	DUSP29	hgnc_alias_symbol
DUX4	current_symbol	DUX4L1	hgnc_prev_symbol
DXS648E	multiple_targets	RPL10|SNORA70	hgnc_alias_symbol
E1	multiple_targets	BCHE|ENOPH1|SNORA73A	hgnc_alias_symbol
E2	multiple_targets	CST12P|DLAT|SNORA62	hgnc_alias_symbol
E3	multiple_targets	ALDH9A1|DLD|SNORA63	hgnc_alias_symbol
E4	multiple_targets	UBE4A|UBE4B	hgnc_alias_symbol
EAF2	current_symbol	DMAP1	hgnc_alias_symbol
EAP1	multiple_targets	EXOSC7|IRF2BPL|PTTG1	hgnc_alias_symbol
EB1	multiple_targets	COX7A2L|MAPRE1|MAPRE2	hgnc_alias_symbol
EBN	multiple_targets	CHRNA4|KCNQ2	hgnc_prev_symbol
EBN1	multiple_targets	CHRNA4|KCNQ2	hgnc_prev_symbol
EBP	current_symbol	GLB1|SH3D19	hgnc_alias_symbol
ECD	current_symbol	SEM1	hgnc_alias_symbol
EDG1	S1PR1	HEXIM1	hgnc_alias_symbol
EDG2	LPAR1	BUD31	hgnc_alias_symbol
EDHB17	multiple_targets	HSD17B1|HSD17B1P1	hgnc_prev_symbol
EEF1AL	EEF1A1P3	EEF1A2	hgnc_alias_symbol
EHK1	KRT1	EPHA5	hgnc_alias_symbol
EIF-2B	multiple_targets	EIF2B1|EIF2B3|EIF2B4|EIF2B5	hgnc_alias_symbol
EIF1A	EIF1AX	EIF1	hgnc_alias_symbol
EIF2	EIF2S1	EIF2S3	hgnc_alias_symbol
EIF2	multiple_targets	EIF2S1|EIF2S2	hgnc_prev_symbol
EIF2A	current_symbol	EIF2S1	hgnc_alias_symbol
EIF2B	multiple_targets	EIF2B2|EIF2B4	hgnc_alias_symbol
EIF3A	current_symbol	EIF6	hgnc_prev_symbol
EIF3A	current_symbol	EIF6	hgnc_withdrawn
EIF4A	EIF4A1	EIF4A2	hgnc_alias_symbol
EIF4F	multiple_targets	EIF4A2|EIF4E|EIF4G1	hgnc_prev_symbol
ELF1	current_symbol	ELOF1	hgnc_alias_symbol
ELN	current_symbol	ERLN	hgnc_alias_symbol
EMA	multiple_targets	ETFA|MUC1	hgnc_alias_symbol
EMAP-2	multiple_targets	AIMP1|EML2|EML5	hgnc_alias_symbol
EMC19	multiple_targets	SKP1|SKP1P1	hgnc_alias_symbol
EMILIN3	current_symbol	MMRN2	hgnc_prev_symbol
EMT	multiple_targets	ITK|SLC22A3	hgnc_alias_symbol
EP2	multiple_targets	PTGER2|SPAG11B	hgnc_alias_symbol
EPB41L4A-AS2	current_symbol	EPB41L4A-DT	hgnc_prev_symbol
EPO	current_symbol	EPX|TIMP1	hgnc_alias_symbol
EPR-1	multiple_targets	BIRC5|ELF3	hgnc_alias_symbol
ER	multiple_targets	EREG|ESR1	hgnc_alias_symbol
ERF	current_symbol	ETF1	hgnc_prev_symbol
ERF1	multiple_targets	TFAP2C|ZFP36L1	hgnc_alias_symbol
ERIS	multiple_targets	CISD2|STING1	hgnc_alias_symbol
ERK	EPHB2	MAPK1	hgnc_alias_symbol
ERV1	multiple_targets	CMKLR1|GFER	hgnc_alias_symbol
ESA	multiple_targets	EPCAM|FLOT2|PON1	hgnc_alias_symbol
ESA1	multiple_targets	FLOT2|KAT5	hgnc_alias_symbol
ESG	multiple_targets	TLE1|TLE2|TLE3|TLE4	hgnc_alias_symbol
ESO1	multiple_targets	CTAG1A|CTAG1B|ESCO1	hgnc_alias_symbol
ESP1	multiple_targets	CRIP2|ESPL1	hgnc_alias_symbol
EST	multiple_targets	MAP3K8|SULT1E1	hgnc_alias_symbol
ETK	EPHA3	BMX	hgnc_alias_symbol
ETL1	multiple_targets	LGI1|SMARCAD1	hgnc_alias_symbol
EVR1	multiple_targets	FZD4|LRP5	hgnc_prev_symbol
EWSR2	ETS1	FLI1	hgnc_alias_symbol
EZH1	current_symbol	EZH2	hgnc_alias_symbol
F11	current_symbol	ZNF160	hgnc_alias_symbol
F3	current_symbol	CNTN1	hgnc_alias_symbol
F379	multiple_targets	FAM138A|FAM138B|FAM138C|FAM138D|FAM138E|FAM138F	hgnc_alias_symbol
F5F8D	LMAN1	MCFD2	hgnc_alias_symbol
FAAH	current_symbol	FA2H	hgnc_alias_symbol
FABP5	current_symbol	FABP5P1	hgnc_alias_symbol
FABP5P1	current_symbol	FABP5P11	hgnc_prev_symbol
FACD	multiple_targets	BRCA2|FANCD2	hgnc_prev_symbol
FAD	multiple_targets	BRCA2|FANCD2|PSEN1	hgnc_alias_symbol
FAD1	multiple_targets	BRCA2|FLAD1	hgnc_alias_symbol
FADS6	current_symbol	FADS1	hgnc_alias_symbol
FAF	multiple_targets	FANCF|USP9X	hgnc_alias_symbol
FAH	current_symbol	FANCA	hgnc_alias_symbol
FANCD	multiple_targets	BRCA2|FANCD2	hgnc_prev_symbol
FAS	current_symbol	FASN	hgnc_alias_symbol
FAST	multiple_targets	FASTK|FOXD3-AS1	hgnc_alias_symbol
FAT	FAT1	CD36	hgnc_alias_symbol
FBL3	multiple_targets	FBXL2|FBXL3	hgnc_alias_symbol
FBL4	multiple_targets	FBXL4|FBXL5	hgnc_alias_symbol
FBL5	multiple_targets	FBXL4|FBXL5	hgnc_alias_symbol
FBL6	multiple_targets	FBXL6|FBXL7	hgnc_alias_symbol
FBL7	multiple_targets	FBXL7|KDM2A	hgnc_alias_symbol
FBP	multiple_targets	FUBP1|RAB14	hgnc_alias_symbol
FBP2	current_symbol	KHSRP	hgnc_alias_symbol
FBS	multiple_targets	FBRS|FBXO8	hgnc_alias_symbol
FBX30	multiple_targets	FBXO44|FBXW7	hgnc_alias_symbol
FCG2	multiple_targets	FCGR2A|FCGR2B	hgnc_prev_symbol
FCG3	multiple_targets	FCGR3A|FCGR3B	hgnc_prev_symbol
FCGR2	multiple_targets	FCGR2A|FCGR2B	hgnc_prev_symbol
FCGR3	multiple_targets	FCGR3A|FCGR3B	hgnc_prev_symbol
FCRL2	current_symbol	FCRLB	hgnc_alias_symbol
FCT3A	FUT4	FUT6	hgnc_alias_symbol
FDH	ADH5	ALDH1L1	hgnc_alias_symbol
FE	multiple_targets	GTF2E1|GTF2E2	hgnc_alias_symbol
FEM1A	current_symbol	FEM1C	hgnc_alias_symbol
FEZ1	current_symbol	LZTS1	hgnc_alias_symbol
FGF2	current_symbol	FGF13	hgnc_alias_symbol
FHC	multiple_targets	FTH1|MYBPC3	hgnc_alias_symbol
FHL1	current_symbol	CFH	hgnc_alias_symbol
FIG	multiple_targets	DEPP1|GOPC	hgnc_alias_symbol
FIL1	multiple_targets	IL36A|IL36B|IL36RN|IL37	hgnc_alias_symbol
FIR	multiple_targets	FARP2|PUF60	hgnc_alias_symbol
FKBP6	current_symbol	FKBP10	hgnc_alias_symbol
FKBP9	current_symbol	FKBP1B	hgnc_alias_symbol
FLG	current_symbol	FGFR1	hgnc_alias_symbol
FLIP	multiple_targets	CFLAR|FIRRM	hgnc_alias_symbol
FLJ10052	multiple_targets	SUSD4|TLR5	hgnc_alias_symbol
FLJ10883	multiple_targets	PCMTD1|PCMTD2	hgnc_alias_symbol
FLJ20375	multiple_targets	BRD10|FOCAD	hgnc_alias_symbol
FLJ22167	multiple_targets	CHST5|TMEM231	hgnc_alias_symbol
FLJ37712	multiple_targets	SLC35F3|SLC35F4	hgnc_alias_symbol
FLJ43692	multiple_targets	ARHGEF35|CTAGE4	hgnc_alias_symbol
FMO2	current_symbol	FMO4	hgnc_prev_symbol
FOP	multiple_targets	CEP43|CHTOP	hgnc_alias_symbol
FP	multiple_targets	PTGFR|SDHA	hgnc_alias_symbol
FPP	multiple_targets	ALX4|MSX2	hgnc_alias_symbol
FRA3B	current_symbol	FHIT	hgnc_alias_symbol
FRAG1	multiple_targets	ATAD5|PGAP2	hgnc_alias_symbol
FRAXA	current_symbol	FMR1	hgnc_alias_symbol
FRAXE	current_symbol	AFF2	hgnc_alias_symbol
FRP	multiple_targets	FSTL1|SFRP1	hgnc_alias_symbol
FS	multiple_targets	FST|GBGT1	hgnc_alias_symbol
FSP1	multiple_targets	AIFM2|ATL1|S100A4	hgnc_alias_symbol
FSSV	multiple_targets	TNNI2|TNNT3	hgnc_alias_symbol
FUS1	multiple_targets	FUS|TUSC2	hgnc_alias_symbol
FZD3	current_symbol	FZD9	hgnc_alias_symbol
G10	BUD31	ZBTB12	hgnc_alias_symbol
G13	multiple_targets	ATF6B|GNA13	hgnc_alias_symbol
G17	multiple_targets	PBX2|SLC38A3	hgnc_alias_symbol
G18	multiple_targets	CISH|GPSM3	hgnc_alias_symbol
G2	multiple_targets	CRYGEP|KIAA1549L|PRRC2A	hgnc_alias_symbol
G6PT	G6PC1	SLC37A4	hgnc_alias_symbol
GAB1	current_symbol	PIGU	hgnc_alias_symbol
GABPB1	current_symbol	GABPAP1	hgnc_prev_symbol
GABPB2	current_symbol	GABPB1	hgnc_prev_symbol
GAGE8	current_symbol	GAGE2D|GAGE2E	hgnc_alias_symbol
GAL	current_symbol	GALP	hgnc_alias_symbol
GAL3ST2	current_symbol	GAL3ST3	hgnc_alias_symbol
GAL7	multiple_targets	LGALS7|LGALS7B	hgnc_alias_symbol
GalNAc-T5L	multiple_targets	GALNT17|GALNTL5	hgnc_alias_symbol
GALNT15	current_symbol	GALNT18	hgnc_alias_symbol
GALNT15	current_symbol	GALNTL5	hgnc_prev_symbol
GALNT17	current_symbol	GALNTL6	hgnc_alias_symbol
GALNT7	current_symbol	GALNT15	hgnc_alias_symbol
GAR1	current_symbol	CNGB1	hgnc_alias_symbol
GARP	LRRC32	CNGB1	hgnc_alias_symbol
GAS	multiple_targets	GALNS|PAGR1	hgnc_alias_symbol
GASP	multiple_targets	GPRASP1|VOPP1	hgnc_alias_symbol
GBP	multiple_targets	HADHA|LGALS1|PIAS1|TMEM132A	hgnc_alias_symbol
GC1	multiple_targets	OLFM4|SLC25A22|SOD2	hgnc_alias_symbol
GCAP	multiple_targets	ALPG|GUCA1A	hgnc_alias_symbol
GCD10	multiple_targets	CRLS1|TRMT6	hgnc_alias_symbol
GCK	current_symbol	MAP4K2	hgnc_alias_symbol
GCKR	current_symbol	MAP4K5	hgnc_alias_symbol
GCL	multiple_targets	GCA|GMCL2	hgnc_alias_symbol
GCN5	multiple_targets	KAT2A|KAT2B	hgnc_alias_symbol
GCOM1	current_symbol	MYZAP	hgnc_alias_symbol
GCP	OPN1MW	GOLGB1	hgnc_alias_symbol
GCP2	multiple_targets	FOLH1|GOLGA4|TUBGCP2	hgnc_alias_symbol
GCS	multiple_targets	GCLC|UGCG	hgnc_alias_symbol
GDA	current_symbol	SLC25A16	hgnc_alias_symbol
GDH	multiple_targets	CRYL1|GLUD1|UGDH	hgnc_alias_symbol
GDIL	GDI1	SNTB1-AS1	hgnc_alias_symbol
GDN	multiple_targets	MAML3|SERPINE2	hgnc_alias_symbol
GEMIN1	multiple_targets	SMN1|SMN2	hgnc_alias_symbol
GF1	GATA1	SOS1	hgnc_alias_symbol
GGT	multiple_targets	GGT1|GGT2P	hgnc_prev_symbol
GGTA1P	multiple_targets	GGTA1|GGTA2P	hgnc_prev_symbol
GID2	multiple_targets	RMND5A|RMND5B	hgnc_alias_symbol
GIF	multiple_targets	MIF|MT3	hgnc_alias_symbol
GIG1	multiple_targets	CCN1|NKG7	hgnc_alias_symbol
GIP	current_symbol	C1QTNF1|GNAI2	hgnc_alias_symbol
GJA10	current_symbol	GJA9	hgnc_prev_symbol
GJA9	current_symbol	GJD2	hgnc_prev_symbol
GJC1	current_symbol	GJD3	hgnc_prev_symbol
GJE1	current_symbol	GJC3	hgnc_prev_symbol
GK2	current_symbol	GALK2	hgnc_alias_symbol
GL	multiple_targets	OSTM1|PPP1R3B	hgnc_alias_symbol
GLP	multiple_targets	EHMT1|GOLGA6A	hgnc_alias_symbol
GLP-1	multiple_targets	GCG|ZGLP1	hgnc_alias_symbol
GLP1	multiple_targets	GCG|ZGLP1	hgnc_alias_symbol
GLS	current_symbol	GLS2	hgnc_alias_symbol
GLUC	GBA1	GBA3	hgnc_alias_symbol
GLUR7	multiple_targets	GRIK3|GRM7	hgnc_alias_symbol
GLUT6	SLC2A3P1	SLC2A6	hgnc_alias_symbol
GLUT8	multiple_targets	SLC2A12|SLC2A8	hgnc_alias_symbol
GLYT1	MGAT1	SLC6A9	hgnc_alias_symbol
GLYT2	GGTA1	SLC6A5	hgnc_alias_symbol
GM2AP	GM2AP1	GM2A	hgnc_alias_symbol
GNT1	UGT1A1	UGT1A6	hgnc_alias_symbol
GOT1	current_symbol	GOLT1A|GOLT1B	hgnc_alias_symbol
GP110	multiple_targets	ADRM1|CD68	hgnc_alias_symbol
GP130	multiple_targets	IL6ST|LRPPRC	hgnc_alias_symbol
GP180	multiple_targets	CPD|PTPRC	hgnc_alias_symbol
GP40	multiple_targets	CD7|PDPN	hgnc_alias_symbol
GPCR	multiple_targets	GPBAR1|OXER1	hgnc_alias_symbol
GPD	multiple_targets	ACKR1|GYPC	hgnc_alias_symbol
GPI	current_symbol	GNPDA1	hgnc_alias_symbol
GPRK7	multiple_targets	GRK7|MKNK2	hgnc_prev_symbol
GPT	current_symbol	DPAGT1	hgnc_alias_symbol
GPX6	current_symbol	GPX7	hgnc_alias_symbol
GPXL2	GPX1P1	GPX1P2	hgnc_alias_symbol
GRF2	RAPGEF1	RASGRF2	hgnc_alias_symbol
GRIK2	current_symbol	GRIK5	hgnc_prev_symbol
GRIN1	current_symbol	GPRIN1	hgnc_alias_symbol
GRINL1A	POLR2M	GCOM1	hgnc_alias_symbol
GRIP1	current_symbol	LGALS12|NCOA2	hgnc_alias_symbol
GRP	current_symbol	LGALSL|UCMA	hgnc_alias_symbol
GRTH	multiple_targets	DDX25|THRB	hgnc_alias_symbol
GS1	multiple_targets	MYO5A|PUDP	hgnc_alias_symbol
GS2	multiple_targets	PNPLA4|RAB27A	hgnc_alias_symbol
GSG1	current_symbol	TRAPPC8	hgnc_alias_symbol
GSS	current_symbol	PRNP	hgnc_prev_symbol
GST1	GSTM1	GSPT1	hgnc_alias_symbol
GSTAP2	GSTA7P	GSTA10P	hgnc_alias_symbol
GTK	multiple_targets	FRK|KYAT1	hgnc_alias_symbol
GUCY2B	multiple_targets	NPR2|NPR3	hgnc_alias_symbol
H1	multiple_targets	CLIC4|RLN1|VPS45	hgnc_alias_symbol
H2	multiple_targets	FGFR1|RLN2	hgnc_alias_symbol
H2-ALPHA	multiple_targets	TUBA3D|TUBA4A	hgnc_alias_symbol
H2A.1	multiple_targets	H2AC17|H2AC8	hgnc_alias_symbol
H2A.B.1	multiple_targets	H2AB2|H2AB3	hgnc_alias_symbol
H2A/q	multiple_targets	H2AC18|H2AC20	hgnc_alias_symbol
H2B.1	multiple_targets	H2BC21|H2BC4	hgnc_alias_symbol
H3	multiple_targets	FGFR1|H3C14|RLN3	hgnc_alias_symbol
H3.1	multiple_targets	H3C3|H3C6	hgnc_alias_symbol
H3F3AP1	H3P38	H3C9P	hgnc_alias_symbol
H4	multiple_targets	CCDC6|FGFR1|H4C6	hgnc_alias_symbol
H5	multiple_targets	FGFR1|SEPTIN4|SEPTIN5	hgnc_alias_symbol
HAI	multiple_targets	SPINT1|ST14	hgnc_alias_symbol
HAP	multiple_targets	RARB|RTN3	hgnc_alias_symbol
HAP1	current_symbol	APEX1	hgnc_alias_symbol
HAP2	HAP1	NFYA	hgnc_alias_symbol
HARP	multiple_targets	ANGPTL2|ANKS4B|PANK2|SMARCAL1	hgnc_alias_symbol
HARS2	current_symbol	DTD1	hgnc_prev_symbol
HAS1	current_symbol	HNF1A-AS1	hgnc_alias_symbol
HB-1	multiple_targets	HMHB1|PEG10	hgnc_alias_symbol
HBK	multiple_targets	HBD|HBM	hgnc_alias_symbol
HBM	current_symbol	LRP5	hgnc_alias_symbol
HBP	multiple_targets	AZU1|HDLBP|HEBP1|SLBP	hgnc_alias_symbol
HBSCI	multiple_targets	SCN1A|SCN2A	hgnc_alias_symbol
HC2	multiple_targets	CYCSP38|PSMA1|SERPIND1	hgnc_alias_symbol
HC3	multiple_targets	CYCSP24|PSMA2	hgnc_alias_symbol
HC5	multiple_targets	CYCSP1|PSMB1	hgnc_alias_symbol
HC8	multiple_targets	CYCSP35|PSMA3	hgnc_alias_symbol
HCA2	multiple_targets	ADCY10|HCAR2|MAGEC3	hgnc_alias_symbol
HCA3	multiple_targets	HCAR3|MAGEE2	hgnc_alias_symbol
HCAP	multiple_targets	DCD|SMC3	hgnc_alias_symbol
HCC-2	multiple_targets	CCL15|MRPS11	hgnc_alias_symbol
HCC-4	multiple_targets	CCL16|RBMS1	hgnc_alias_symbol
HCCA2	multiple_targets	MOB2|YY1AP1	hgnc_alias_symbol
HCCR-2	multiple_targets	BRI3BP|LETMD1	hgnc_alias_symbol
HCG	multiple_targets	CGA|CGB5	hgnc_alias_symbol
HCNP	multiple_targets	PEBP1|XAB2	hgnc_alias_symbol
HCP	multiple_targets	AMBP|CPOX|PTPN6	hgnc_alias_symbol
HCP1	multiple_targets	CYCSP51|PDE7A|PRMT1|SLC46A1	hgnc_alias_symbol
HCP5	current_symbol	CYCSP5	hgnc_alias_symbol
HCR	multiple_targets	CCHCR1|CCRL2|EIF2AK1	hgnc_alias_symbol
HCRTR2	current_symbol	CD200R1	hgnc_alias_symbol
HCS	multiple_targets	CYCS|HLCS	hgnc_alias_symbol
HDC	current_symbol	HECA	hgnc_alias_symbol
HE2	multiple_targets	SPAG11A|SPAG11B	hgnc_alias_symbol
HED	multiple_targets	EDA|GJB6	hgnc_alias_symbol
HEN1	NHLH1	HENMT1	hgnc_alias_symbol
HEP	multiple_targets	DNLZ|EPHB6	hgnc_alias_symbol
HEPIS	multiple_targets	BACC1|IFTAP	hgnc_alias_symbol
Hero20	multiple_targets	BEX3|C11orf58	hgnc_alias_symbol
HES1	current_symbol	GATD3	hgnc_alias_symbol
HGF	current_symbol	IL6|SOS1	hgnc_alias_symbol
HGFL	MST1	PIK3IP1	hgnc_alias_symbol
HGL	multiple_targets	LIPF|LLGL2	hgnc_alias_symbol
HGPS	multiple_targets	LMNA|ROBO3|ZMPSTE24	hgnc_alias_symbol
HGRG8	multiple_targets	YTHDF2|YTHDF2P1	hgnc_alias_symbol
HHM	multiple_targets	CCNDBP1|PTHLH	hgnc_alias_symbol
HI	multiple_targets	ABCC8|AKAP4	hgnc_alias_symbol
HIP	multiple_targets	HHIP|REG3A|RPL29|ST13	hgnc_alias_symbol
HIS	HAL	AKR1B10	hgnc_alias_symbol
HIS1	multiple_targets	HEXIM1|HTN1|VIS1	hgnc_alias_symbol
HK	KNG1	ATP12A	hgnc_alias_symbol
HK1	current_symbol	HOOK1|KCNA4	hgnc_alias_symbol
HK2	current_symbol	HOOK2|KCNA5|KIF2A	hgnc_alias_symbol
HK3	current_symbol	HOOK3	hgnc_alias_symbol
HK4	multiple_targets	GCK|KCNA2	hgnc_alias_symbol
HL	multiple_targets	HMGCL|LIPC	hgnc_alias_symbol
HL-2	multiple_targets	DNAH6|ITLN2	hgnc_alias_symbol
HLA-H	current_symbol	HFE	hgnc_alias_symbol
HLAL	HLA-L	LIPF	hgnc_alias_symbol
HLF	current_symbol	EPAS1	hgnc_alias_symbol
HLP	multiple_targets	GZMB|HAP1|SKIC2	hgnc_alias_symbol
HLP2	multiple_targets	DDX3X|HPCAL1	hgnc_alias_symbol
HLP3	SHH	VSNL1	hgnc_alias_symbol
HMAT1	multiple_targets	ALG1|PEA15	hgnc_alias_symbol
HNPCC	multiple_targets	MLH1|MSH2	hgnc_alias_symbol
HNRPA3	multiple_targets	HNRNPA3|HNRNPA3P1	hgnc_prev_symbol
HNT	multiple_targets	NTM|RREB1	hgnc_alias_symbol
HOKPP	CACNA1S	KCNE3	hgnc_alias_symbol
HOP	multiple_targets	HOPX|STIP1	hgnc_alias_symbol
HOPS	ALPL	TMUB1	hgnc_alias_symbol
HOX1	multiple_targets	HOXA1|HOXA10|HOXA11|HOXA13|HOXA3|HOXA4|HOXA5|HOXA6|HOXA7|HOXA9	hgnc_prev_symbol
HOX1D	multiple_targets	HOXA4|HOXD3	hgnc_prev_symbol
HOX2	multiple_targets	HOXB1|HOXB2|HOXB3|HOXB4|HOXB5|HOXB6|HOXB7|HOXB8|HOXB9	hgnc_prev_symbol
HOX3	multiple_targets	HOXC12|HOXC13|HOXC4|HOXC5|HOXC6|HOXC8|HOXC9	hgnc_prev_symbol
