SNV/indel,CNV,STR,Mitochondria
MIR421,MIR421,,
MKRN3,MKRN3,,
MRAP,MRAP,,
MRAS,MRAS,,
MSX1,MSX1,,
MTHFR,MTHFR,,
NBN,NBN,,
NF1,NF1,,
NF2,NF2,,
NFIX,NFIX,,
NIN,NIN,,
NIPBL,NIPBL,,
NKX2-2,NKX2-2,,
NNT,NNT,,
NOTCH2,NOTCH2,,
NPPB,NPPB,,
NPPC,NPPC,,
NPR2,NPR2,,
NPR3,NPR3,,
NR0B1,NR0B1,,
NR0B2,NR0B2,,
NR3C1,NR3C1,,
NR5A1,NR5A1,,
NRAS,NRAS,,
NSD1,NSD1,,
NSMF,NSMF,,
NSUN2,NSUN2,,
OBSL1,OBSL1,,
ORC1,ORC1,,
ORC4,ORC4,,
ORC6,ORC6,,
OSTM1,OSTM1,,
OTX2,OTX2,,
P3H1,P3H1,,
P4HB,P4HB,,
PALB2,PALB2,,
PAPPA,PAPPA,,
PAPPA2,PAPPA2,,
PAPSS2,PAPSS2,,
PAX4,PAX4,,
PAX6,PAX6,,
PAX8,PAX8,,
PC,PC,,
PCNT,PCNT,,
PCSK1,PCSK1,,
PCYT1A,PCYT1A,,
PDGFRB,PDGFRB,,
PGR,PGR,,
PHEX,PHEX,,
PIK3CA,PIK3CA,,
PIK3R1,PIK3R1,,
PITX2,PITX2,,
PLAG1,PLAG1,,
PLAGL1,PLAGL1,,
PLIN1,PLIN1,,
PNPLA6,PNPLA6,,
POLR3A,POLR3A,,
POLR3B,POLR3B,,
POMC,POMC,,
POR,POR,,
POU1F1,POU1F1,,
PPARG,PPARG,,
PPIB,PPIB,,
PPP1CB,PPP1CB,,
PRKG2,PRKG2,,
PROK2,PROK2,,
PROKR2,PROKR2,,
PROP1,PROP1,,
PTCH1,PTCH1,,
PTEN,PTEN,,
PTF1A,PTF1A,,
PTH,PTH,,
PTH1R,PTH1R,,
PTHLH,PTHLH,,
PTPN11,PTPN11,,
RAB3IP,RAB3IP,,
RAD21,RAD21,,
RAD51,RAD51,,
RAD51B,RAD51B,,
RAD51C,RAD51C,,
RAF1,RAF1,,
RASA1,RASA1,,
RASA2,RASA2,,
RBBP8,RBBP8,,
RECQL3,RECQL3,,
RET,RET,,
RFWD3,RFWD3,,
RFX6,RFX6,,
RIT1,RIT1,,
RNF216,RNF216,,
RNPC3,RNPC3,,
RNU4ATAC,RNU4ATAC,,
ROR2,ROR2,,
RRAS,RRAS,,
RUNX2,RUNX2,,
SAMD9,SAMD9,,
SASH1,SASH1,,
SCARB1,SCARB1,,
SDHAF2,SDHAF2,,
SEC24D,SEC24D,,
SECISBP2,SECISBP2,,
SEMA3A,SEMA3A,,
SEMA3E,SEMA3E,,
SERPINF1,SERPINF1,,
SERPINH1,SERPINH1,,
SHANK3,SHANK3,,
SHH,SHH,,
SHOC2,SHOC2,,
SHOX2,SHOX2,,
SIM1,SIM1,,
SIRT1,SIRT1,,
SIX3,SIX3,,
SLC16A2,SLC16A2,,
SLC19A2,SLC19A2,,
SLC26A2,SLC26A2,,
SLC26A4,SLC26A4,,
SLC2A2,SLC2A2,,
SLC34A1,SLC34A1,,
SLC34A3,SLC34A3,,
SLC37A4,SLC37A4,,
SLC5A5,SLC5A5,,
SLX4,SLX4,,
SMAD1,SMAD1,,
SMAD4,SMAD4,,
SMARCA4,SMARCA4,,
SMARCB2,SMARCB2,,
SMC1A,SMC1A,,
SMC3,SMC3,,
SOCS2,SOCS2,,
SOS1,SOS1,,
SOS2,SOS2,,
SOST,SOST,,
SOX10,SOX10,,
SOX2,SOX2,,
SOX3,SOX3,,
SOX5,SOX5,,
SOX6,SOX6,,
SOX8,SOX8,,
SOX9,SOX9,,
SP7,SP7,,
SPARC,SPARC,,
SPINK5,SPINK5,,
SPRED1,SPRED1,,
SPRY4,SPRY4,,
SQSTM1,SQSTM1,,
SRCAP,SRCAP,,
STAG3,STAG3,,
STAMBP,STAMBP,,
STAR,STAR,,
STAT3,STAT3,,
STAT5B,STAT5B,,
STX16,STX16,,
SYNGAP1,SYNGAP1,,
TAC3,TAC3,,
TACR3,TACR3,,
TBCE,TBCE,,
TBX1,TBX1,,
TCIRG1,TCIRG1,,
TGFB3,TGFB3,,
TGIF1,TGIF1,,
THRA,THRA,,
THRB,THRB,,
TIAL1,TIAL1,,
TMEM38B,TMEM38B,,
TNFRSF11A,TNFRSF11A,,
TNFRSF11B,TNFRSF11B,,
TP53,TP53,,
TPO,TPO,,
TRIM37,TRIM37,,
TRPS1,TRPS1,,
TSHB,TSHB,,
TSHR,TSHR,,
UBE2T,UBE2T,,
VDR,VDR,,
VPS13B,VPS13B,,
WDR11,WDR11,,
WFS1,WFS1,,
WNK1,WNK1,,
WNK4,WNK4,,
WNT1,WNT1,,
WNT3A,WNT3A,,
WNT4,WNT4,,
WNT5A,WNT5A,,
WT1,WT1,,
WWOX,WWOX,,
XRCC2,XRCC2,,
XRCC4,XRCC4,,
ZBTB20,ZBTB20,,
ZFP57,ZFP57,,
ZIC2,ZIC2,,
ZMPSTE24,ZMPSTE24,,
