SNV/indel,CNV,STR,Mitochondria
GOSR2,GOSR2,,
GYG1,GYG1,,
GYS1,GYS1,,
HACD1,HACD1,,
HADHA,HADHA,,
HADHB,HADHB,,
HARS,HARS,,
HEXB,HEXB,,
HINT1,HINT1,,
HK1,HK1,,
HMGCR,HMGCR,,
HMGCS1,HMGCS1,,
HNRNPA1,HNRNPA1,,
HNRNPA2B1,HNRNPA2B1,,
HNRNPDL,HNRNPDL,,
HOXD10,HOXD10,,
HRAS,HRAS,,
HSPB1,HSPB1,,
HSPB3,HSPB3,,
HSPB8,HSPB8,,
HSPG2,HSPG2,,
IGHMBP2,IGHMBP2,,
INF2,INF2,,
INPP5K,INPP5K,,
ISCU,ISCU,,
ITGA7,ITGA7,,
ITPR3,ITPR3,,
IVNS1ABP,IVNS1ABP,,
JAG1,JAG1,,
JAG2,JAG2,,
JPH1,JPH1,,
KARS,KARS,,
KBTBD13,KBTBD13,,
KCNA1,KCNA1,,
KCNE3,KCNE3,,
KCNJ18,KCNJ18,,
KCNJ2,KCNJ2,,
KIF1A,KIF1A,,
KIF1B,KIF1B,,
KIF21A,KIF21A,,
KIF26B,KIF26B,,
KIF5A,KIF5A,,
KLHL40,KLHL40,,
KLHL41,KLHL41,,
KLHL9,KLHL9,,
KY,KY,,
LAMA2,LAMA2,,
LAMA4,LAMA4,,
LAMA5,LAMA5,,
LAMB2,LAMB2,,
LAMP2,LAMP2,,
LARGE,LARGE,,
LARGE1,LARGE1,,
LAS1L,LAS1L,,
LDB3,LDB3,,
LDHA,LDHA,,
LDHB,LDHB,,
LIG3,LIG3,,
LIMS2,LIMS2,,
LITAF,LITAF,,
LMNA,LMNA,,
LMNB2,LMNB2,,
LMOD3,LMOD3,,
LRIF1,LRIF1,,
LRP10,LRP10,,
LRP12,LRP12,,
LRP4,LRP4,,
LRPPRC,LRPPRC,,
LRSAM1,LRSAM1,,
MACF1,MACF1,,
MAMDC2,MAMDC2,,
MAN2B1,MAN2B1,,
MAP3K20,MAP3K20,,
MAPT,MAPT,,
MARS1,MARS1,,
MATR3,MATR3,,
MB,MB,,
MCM3AP,MCM3AP,,
MCOLN1,MCOLN1,,
MEGF10,MEGF10,,
MET,MET,,
MFN2,MFN2,,
MGME1,MGME1,,
MICU1,MICU1,,
MLIP,MLIP,,
MME,MME,,
MORC2,MORC2,,
MPDU1,MPDU1,,
MPV17,MPV17,,
MPZ,MPZ,,
MRPS25,MRPS25,,
MSTN,MSTN,,
MSTO1,MSTO1,,
MTAP,MTAP,,
MTM1,MTM1,,
MTMR14,MTMR14,,
MTMR2,MTMR2,,
MTTP,MTTP,,
MUSK,MUSK,,
MYBPC1,MYBPC1,,
MYBPC3,MYBPC3,,
MYH14,MYH14,,
MYH2,MYH2,,
MYH3,MYH3,,
MYH6,MYH6,,
MYH7,MYH7,,
MYH8,MYH8,,
MYL1,MYL1,,
MYL2,MYL2,,
MYLPF,MYLPF,,
MYMK,MYMK,,
MYMX,MYMX,,
MYO18B,MYO18B,,
MYO9A,MYO9A,,
MYO9B,MYO9B,,
MYOD1,MYOD1,,
