SNV/indel,CNV,STR,Mitochondria
COA6,COA6,,
COA7,COA7,,
COG1,COG1,,
COG4,COG4,,
COG5,COG5,,
COG6,COG6,,
COG7,COG7,,
COG8,COG8,,
COL18A1,COL18A1,,
COL4A1,COL4A1,,
COL4A2,COL4A2,,
COL4A3BP,COL4A3BP,,
COQ2,COQ2,,
COQ4,COQ4,,
COQ6,COQ6,,
COQ7,COQ7,,
COQ8A,COQ8A,,
COQ8B,COQ8B,,
COQ9,COQ9,,
COX10,COX10,,
COX11,COX11,,
COX14,COX14,,
COX15,COX15,,
COX18,COX18,,
COX20,COX20,,
COX4I1,COX4I1,,
COX5A,COX5A,,
COX6A1,COX6A1,,
COX6A2,COX6A2,,
COX6B1,COX6B1,,
COX7B,COX7B,,
CP,CP,,
CPLX1,CPLX1,,
CPOX,CPOX,,
CPS1,CPS1,,
CPT1A,CPT1A,,
CPT2,CPT2,,
CREB3L3,CREB3L3,,
CREBBP,CREBBP,,
CRELD1,CRELD1,,
CRLS1,CRLS1,,
CRNKL1,CRNKL1,,
CSGALNACT1,CSGALNACT1,,
CSNK2B,CSNK2B,,
CSTB,CSTB,,
CTH,CTH,,
CTNNA2,CTNNA2,,
CTNS,CTNS,,
CTSA,CTSA,,
CTSC,CTSC,,
CTSD,CTSD,,
CTSF,CTSF,,
CTSK,CTSK,,
CUBN,CUBN,,
CUL3,CUL3,,
CUL4B,CUL4B,,
CUX1,CUX1,,
CUX2,CUX2,,
CYC1,CYC1,,
CYCS,CYCS,,
CYFIP2,CYFIP2,,
CYP27A1,CYP27A1,,
CYP7B1,CYP7B1,,
D2HGDH,D2HGDH,,
DARS,DARS,,
DARS2,DARS2,,
DBH,DBH,,
DBT,DBT,,
DCX,DCX,,
DCXR,DCXR,,
DDC,DDC,,
DDOST,DDOST,,
DDX3X,DDX3X,,
DEAF1,DEAF1,,
DEGS1,DEGS1,,
DENND5A,DENND5A,,
DEPDC5,DEPDC5,,
DGUOK,DGUOK,,
DHCR24,DHCR24,,
DHCR7,DHCR7,,
DHDDS,DHDDS,,
DHFR,DHFR,,
DHODH,DHODH,,
DHPS,DHPS,,
DHRSX,DHRSX,,
DHTKD1,DHTKD1,,
