SNV/indel,CNV,STR,Mitochondria
ARSB,ARSB,,
ARSH,ARSH,,
ARV1,ARV1,,
ARX,ARX,,
ASAH1,ASAH1,,
ASB11,ASB11,,
ASGR2,ASGR2,,
ASH1L,ASH1L,,
ASL,ASL,,
ASNS,ASNS,,
ASPA,ASPA,,
ASPH,ASPH,,
ASPM,ASPM,,
ASS1,ASS1,,
ASTE1,ASTE1,,
ASTL,ASTL,,
ASTN1,ASTN1,,
ASTN2,ASTN2,,
ASXL1,ASXL1,,
ASXL2,ASXL2,,
ASXL3,ASXL3,,
ATAD1,ATAD1,,
ATAD3A,ATAD3A,,
ATAD3B,ATAD3B,,
ATAD3C,ATAD3C,,
ATAT1,ATAT1,,
ATG12,ATG12,,
ATG16L2,ATG16L2,,
ATG2A,ATG2A,,
ATG3,ATG3,,
ATG7,ATG7,,
ATIC,ATIC,,
ATM,ATM,,
ATN1,ATN1,,
ATP11A,ATP11A,,
ATP13A2,ATP13A2,,
ATP13A5,ATP13A5,,
ATP1A1,ATP1A1,,
ATP1A2,ATP1A2,,
ATP1A3,ATP1A3,,
ATP2A1,ATP2A1,,
ATP2A2,ATP2A2,,
ATP2B1,ATP2B1,,
ATP2B3,ATP2B3,,
ATP5F1A,ATP5F1A,,
ATP5F1D,ATP5F1D,,
ATP5F1E,ATP5F1E,,
ATP5PO,ATP5PO,,
ATP6AP1,ATP6AP1,,
ATP6AP2,ATP6AP2,,
ATP6V0A1,ATP6V0A1,,
ATP6V0A2,ATP6V0A2,,
ATP6V0C,ATP6V0C,,
ATP6V0D1,ATP6V0D1,,
ATP6V1A,ATP6V1A,,
ATP6V1B2,ATP6V1B2,,
ATP7A,ATP7A,,
ATP7B,ATP7B,,
ATP8A2,ATP8A2,,
ATP8B2,ATP8B2,,
ATP9A,ATP9A,,
ATPAF1,ATPAF1,,
ATPAF2,ATPAF2,,
ATRN,ATRN,,
ATRNL1,ATRNL1,,
ATRX,ATRX,,
ATXN10,ATXN10,,
AUH,AUH,,
AUTS2,AUTS2,,
AVPR2,AVPR2,,
AZI2,AZI2,,
B3GALNT2,B3GALNT2,,
B4GAT1,B4GAT1,,
B9D2,B9D2,,
BAG2,BAG2,,
BAIAP2,BAIAP2,,
BAP1,BAP1,,
BAZ1A,BAZ1A,,
BBS2,BBS2,,
BCAM,BCAM,,
BCAP31,BCAP31,,
BCAS3,BCAS3,,
BCKDHA,BCKDHA,,
BCKDK,BCKDK,,
BCL10,BCL10,,
BCL11A,BCL11A,,
BCL11B,BCL11B,,
BCL2L12,BCL2L12,,
BCLAF1,BCLAF1,,
BCOR,BCOR,,
BCORL1,BCORL1,,
BCR,BCR,,
BCS1L,BCS1L,,
BDNF,BDNF,,
BEAN1,BEAN1,,
BEST2,BEST2,,
BEX3,BEX3,,
BHLHE40,BHLHE40,,
BHLHE41,BHLHE41,,
BICD2,BICD2,,
BICRA,BICRA,,
BIRC6,BIRC6,,
BLOC1S6,BLOC1S6,,
BMP10,BMP10,,
BMP4,BMP4,,
BMP5,BMP5,,
BMP6,BMP6,,
BOLA3,BOLA3,,
BPTF,BPTF,,
BRAF,BRAF,,
BRAT1,BRAT1,,
BRCA2,BRCA2,,
BRD2,BRD2,,
BRD7,BRD7,,
BRPF1,BRPF1,,
BRWD3,BRWD3,,
BSCL2,BSCL2,,
BSN,BSN,,
BTD,BTD,,
BUB1B,BUB1B,,
C11orf65,C11orf65,,
C12orf57,C12orf57,,
C1orf54,C1orf54,,
C1orf87,C1orf87,,
C1QTNF12,C1QTNF12,,
C1QTNF7,C1QTNF7,,
C20orf194,C20orf194,,
C2CD3,C2CD3,,
C2orf69,C2orf69,,
C3,C3,,
C3orf20,C3orf20,,
C7orf50,C7orf50,,
C9orf72,C9orf72,,
CABP4,CABP4,,
CACNA1A,CACNA1A,,
CACNA1B,CACNA1B,,
CACNA1C,CACNA1C,,
CACNA1D,CACNA1D,,
CACNA1E,CACNA1E,,
CACNA1G,CACNA1G,,
CACNA1H,CACNA1H,,
CACNA1I,CACNA1I,,
CACNA2D1,CACNA2D1,,
CACNA2D2,CACNA2D2,,
CACNB4,CACNB4,,
CACNG2,CACNG2,,
CAD,CAD,,
CADM3,CADM3,,
CADPS2,CADPS2,,
CALM2,CALM2,,
CALM3,CALM3,,
CALN1,CALN1,,
CAMK2A,CAMK2A,,
CAMK2B,CAMK2B,,
CAMK2G,CAMK2G,,
CAMLG,CAMLG,,
CAMSAP1,CAMSAP1,,
CAMTA1,CAMTA1,,
CAMTA2,CAMTA2,,
CAND1,CAND1,,
CAPN1,CAPN1,,
CAPN10,CAPN10,,
CAPN11,CAPN11,,
CAPN15,CAPN15,,
CAPN3,CAPN3,,
CAPZA1,CAPZA1,,
CAPZA2,CAPZA2,,
CARD10,CARD10,,
CARD14,CARD14,,
CARD9,CARD9,,
CARNS1,CARNS1,,
CARS2,CARS2,,
CASK,CASK,,
CASP8AP2,CASP8AP2,,
CASQ2,CASQ2,,
CASR,CASR,,
CAV3,CAV3,,
CAVIN2,CAVIN2,,
CBL,CBL,,
CBLIF,CBLIF,,
CC2D1A,CC2D1A,,
CC2D2A,CC2D2A,,
CCBE1,CCBE1,,
CCDC121,CCDC121,,
CCDC127,CCDC127,,
CCDC141,CCDC141,,
CCDC15,CCDC15,,
CCDC17,CCDC17,,
CCDC178,CCDC178,,
CCDC186,CCDC186,,
CCDC88A,CCDC88A,,
CCDC88C,CCDC88C,,
CCDC96,CCDC96,,
CCKBR,CCKBR,,
CCM2,CCM2,,
CCN3,CCN3,,
CCND2,CCND2,,
CD177,CD177,,
CD59,CD59,,
CD93,CD93,,
CD99L2,CD99L2,,
CDAN1,CDAN1,,
CDC123,CDC123,,
CDC25C,CDC25C,,
CDC40,CDC40,,
CDC42,CDC42,,
CDC42BPB,CDC42BPB,,
CDC42EP1,CDC42EP1,,
CDC7,CDC7,,
CDH11,CDH11,,
CDH12,CDH12,,
CDH13,CDH13,,
CDH15,CDH15,,
CDH2,CDH2,,
CDH22,CDH22,,
CDH4,CDH4,,
CDH6,CDH6,,
CDH8,CDH8,,
CDK10,CDK10,,
CDK13,CDK13,,
CDK19,CDK19,,
CDK20,CDK20,,
CDK5,CDK5,,
CDK5R2,CDK5R2,,
CDK5RAP1,CDK5RAP1,,
CDK8,CDK8,,
CDKL5,CDKL5,,
CELF2,CELF2,,
CELF4,CELF4,,
CELSR1,CELSR1,,
