alias	hgnc_symbol	source
2PP2A	SET	hgnc_alias_symbol
3'aHIF-1A	HIF1A-AS2	hgnc_alias_symbol
3'HEXO	ERI1	hgnc_alias_symbol
3'OY11.1	ZNF280A	hgnc_alias_symbol
3-10C	CXCL8	hgnc_alias_symbol
3-alpha-HSD	AKR1C4	hgnc_alias_symbol
3-HAO	HAAO	hgnc_alias_symbol
3-OST-5	HS3ST5	hgnc_alias_symbol
3-PAP	MTMR12	hgnc_alias_symbol
3.8-1.2	HCG26P1	hgnc_alias_symbol
3.8-1.3	HCG26P2	hgnc_alias_symbol
3.8-1.4	HCG26P3	hgnc_alias_symbol
3.8-1.5	HCG26P4	hgnc_alias_symbol
30K	CAPNS1	hgnc_alias_symbol
30ST3A1	HS3ST3A1	hgnc_alias_symbol
30ST3B1	HS3ST3B1	hgnc_alias_symbol
323/A3	EPCAM	hgnc_alias_symbol
354J5	ZPR1P1	hgnc_alias_symbol
3635	PDE12	hgnc_alias_symbol
37LRP	RPSA	hgnc_alias_symbol
384D8-2	NCAPH2	hgnc_alias_symbol
39K2	STAU2	hgnc_alias_symbol
3alpha-HSD	DHRS9	hgnc_alias_symbol
3D3	MTDH	hgnc_alias_symbol
3G2	RBM6	hgnc_alias_symbol
3H11Ag	CEP290	hgnc_alias_symbol
3M3	CCDC8	hgnc_alias_symbol
3OST1	HS3ST1	hgnc_alias_symbol
3OST2	HS3ST2	hgnc_alias_symbol
3OST3A1	HS3ST3A1	hgnc_alias_symbol
3OST3B1	HS3ST3B1	hgnc_alias_symbol
3OST4	HS3ST4	hgnc_alias_symbol
3PAP	MTMR12	hgnc_alias_symbol
3PK	MAPKAPK3	hgnc_alias_symbol
3pK	MAPKAPK3	hgnc_alias_symbol
4-1BB	TNFRSF9	hgnc_alias_symbol
4-1BB-L	TNFSF9	hgnc_alias_symbol
4-1BBL	TNFSF9	hgnc_alias_symbol
4-1BBLRR	LRR1	hgnc_alias_symbol
4-HPPD	HPD	hgnc_alias_symbol
4-HPPD-L	HPDL	hgnc_alias_symbol
4.1-G	EPB41L2	hgnc_alias_symbol
4.1B	EPB41L3	hgnc_alias_symbol
4.1G	EPB41L2	hgnc_alias_symbol
4.1N	EPB41L1	hgnc_alias_symbol
4.1R	EPB41	hgnc_alias_symbol
42A	S100A4	hgnc_alias_symbol
42C	S100A10	hgnc_alias_symbol
47.11	KIR2DL1	hgnc_alias_symbol
4832404P21Rik	ZSWIM8	hgnc_alias_symbol
4833431A01Rik	THAP1	hgnc_alias_symbol
4930513O09RIK	ZCCHC13	hgnc_alias_symbol
4933409D10Rik	ZNF474	hgnc_alias_symbol
4E-BP1	EIF4EBP1	hgnc_alias_symbol
4E-BP3	EIF4EBP3	hgnc_alias_symbol
4E-T	EIF4ENIF1	hgnc_alias_symbol
4EHP	EIF4E2	hgnc_alias_symbol
4F-se9[6:7:8]	CYP4F30P	hgnc_alias_symbol
4F2	SLC3A2	hgnc_alias_symbol
4F2HC	SLC3A2	hgnc_alias_symbol
4F5	SERF1A	hgnc_alias_symbol
4F5REL	SERF2	hgnc_alias_symbol
4HPPD	HPD	hgnc_alias_symbol
4P11	CRYZL1	hgnc_alias_symbol
4T2HC	SLC3A2	hgnc_alias_symbol
5'aHIF-1A	HIF1A-AS1	hgnc_alias_symbol
5'OY11.1	ZNF280B	hgnc_alias_symbol
5-HT(2B)	HTR2B	hgnc_alias_symbol
5-HT1A	HTR1A	hgnc_alias_symbol
5-HT1B	HTR1B	hgnc_alias_symbol
