SNV/indel,CNV,STR,Mitochondria
LDLR,LDLR,,
LDLRAP1,LDLRAP1,,
LIMK1,LIMK1,,
LINC01492,LINC01492,,
LIPA,LIPA,,
LMAN1,LMAN1,,
LMBRD1,LMBRD1,,
LMNA,LMNA,,
LOC100505841,LOC100505841,,
LOX,LOX,,
LPA,LPA,,
LPL,LPL,,
LRCH1,LRCH1,,
LRPPRC,LRPPRC,,
LTBP3,LTBP3,,
LYL1,LYL1,,
LZTR1,LZTR1,,
MAP2K1,MAP2K1,,
MAP3K3,MAP3K3,,
MAP3K6,MAP3K6,,
MAT2A,MAT2A,,
MAX,MAX,,
MBOAT7,MBOAT7,,
MBTPS2,MBTPS2,,
MC4R,MC4R,,
MCCC1,MCCC1,,
MDH2,MDH2,,
MECP2,MECP2,,
MEFV,MEFV,,
MEN1,MEN1,,
MFAP5,MFAP5,,
MFGE8,MFGE8,,
MFN2,MFN2,,
MGAT2,MGAT2,,
MIA3,MIA3,,
MLH1,MLH1,,
MLXIPL,MLXIPL,,
MMACHC,MMACHC,,
MMP1,MMP1,,
MMP12,MMP12,,
MMP3,MMP3,,
MMUT,MMUT,,
MOCS1,MOCS1,,
MOCS2,MOCS2,,
MPI,MPI,,
MPL,MPL,,
MRAS,MRAS,,
MRM2,MRM2,,
MRPS6,MRPS6,,
MSH2,MSH2,,
MSH6,MSH6,,
MTHFR,MTHFR,,
MTR,MTR,,
MTRR,MTRR,,
MUT,MUT,,
MUTYH,MUTYH,,
MYBPC3,MYBPC3,,
MYD88,MYD88,,
MYH11,MYH11,,
MYH6,MYH6,,
MYH7,MYH7,,
MYH9,MYH9,,
MYL2,MYL2,,
MYL3,MYL3,,
MYLK,MYLK,,
MYMY4,MYMY4,,
MYPN,MYPN,,
NAA25,NAA25,,
NAGS,NAGS,,
NBEAL2,NBEAL2,,
NCF1,NCF1,,
ND1,ND1,,
ND4,ND4,,
ND5,ND5,,
ND6,ND6,,
NDE1,NDE1,,
NDFIP2,NDFIP2,,
NDUFA8,NDUFA8,,
NF1,NF1,,
NF2,NF2,,
NFX1,NFX1,,
NINJ2,NINJ2,,
NKX2-5,NKX2-5,,
NLRP3,NLRP3,,
NOS3,NOS3,,
NOTCH1,NOTCH1,,
NOTCH2,NOTCH2,,
NOTCH3,NOTCH3,,
NPPA,NPPA,,
NR2D2,NR2D2,,
NR2F2,NR2F2,,
NR3C1,NR3C1,,
NR3C2,NR3C2,,
NRAS,NRAS,,
NT5C2,NT5C2,,
NUP155,NUP155,,
OBFC1,OBFC1,,
OTC,OTC,,
PARS2,PARS2,,
PCCA,PCCA,,
PCCB,PCCB,,
PCNT,PCNT,,
PCSK9,PCSK9,,
PDCD10,PDCD10,,
PDE3A,PDE3A,,
PDE4D,PDE4D,,
PDGFB,PDGFB,,
PDGFD,PDGFD,,
PDIA5,PDIA5,,
PDK2,PDK2,,
PDZK1IP1,PDZK1IP1,,
PEMT,PEMT,,
PGM1,PGM1,,
PHACTR1,PHACTR1,,
PHGDH,PHGDH,,
PIGA,PIGA,,
PIK3C2A,PIK3C2A,,
PIK3CA,PIK3CA,,
PITX2,PITX2,,
PKD1,PKD1,,
PKP2,PKP2,,
PLAU,PLAU,,
PLG,PLG,,
PLIN1,PLIN1,,
PLOD1,PLOD1,,
PLOD3,PLOD3,,
PMAIP1,PMAIP1,,
PMF1,PMF1,,
PMM2,PMM2,,
PMS2,PMS2,,
PNP,PNP,,
POLG,POLG,,
POM121L9P,POM121L9P,,
PRDX6,PRDX6,,
PRKAG2,PRKAG2,,
PRKAR1A,PRKAR1A,,
PRKCH,PRKCH,,
PRKG1,PRKG1,,
PRNP,PRNP,,
PROC,PROC,,
PROC4,PROC4,,
PROS1,PROS1,,
PRPF8,PRPF8,,
PTCSC3,PTCSC3,,
PTEN,PTEN,,
PTGS2,PTGS2,,
PTPN11,PTPN11,,
RAF1,RAF1,,
RASA1,RASA1,,
RASD1,RASD1,,
RASGRP2,RASGRP2,,
RB1,RB1,,
RBM20,RBM20,,
RECQL2,RECQL2,,
REST,REST,,
RET,RET,,
RFC2,RFC2,,
RFT1,RFT1,,
RGS7,RGS7,,
RNF213,RNF213,,
ROBO4,ROBO4,,
RRAS2,RRAS2,,
SAG,SAG,,
SAMHD1,SAMHD1,,
SCIMP,SCIMP,,
SCN1B,SCN1B,,
SCN2B,SCN2B,,
SCN3B,SCN3B,,
SCN4B,SCN4B,,
SCN5A,SCN5A,,
SCNN1B,SCNN1B,,
SCNN1G,SCNN1G,,
SDHA,SDHA,,
SDHAF2,SDHAF2,,
SDHB,SDHB,,
SDHC,SDHC,,
SDHD,SDHD,,
SEMA4A,SEMA4A,,
SERPINC1,SERPINC1,,
SERPINE1,SERPINE1,,
SERPINH1,SERPINH1,,
